cve_id,source,import_source,json_data,aliases,published,modified,severity,cvss_score,cvss_version,cvss_vector,summary,details,ecosystem,package,range_type,repo,introduced,fixed,cwe_ids,cna_assigner,references
CVE-2026-21621,https://cve.org/CVERecord?id=CVE-2026-21621,https://storage.googleapis.com/cve-osv-conversion/osv-output/CVE-2026-21621.json,https://api.osv.dev/v1/vulns/CVE-2026-21621,EEF-CVE-2026-21621; GHSA-739m-8727-j6w3,2026-03-05T19:20:05.831Z,2026-08-12T03:51:35.739385936Z,7.0 (High),7.0,CVSS_V4,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:N/VC:N/VI:H/VA:L/SC:N/SI:H/SA:N,Improper Scope Enforcement in OAuth client_credentials Flow Allows Read-Only API Key to Escalate to Full Access,"Incorrect Authorization vulnerability in hexpm hexpm/hexpm ('Elixir.HexpmWeb.API.OAuthController' module) allows Privilege Escalation. An API key created with read-only permissions (domain: ""api"", resource: ""read"") can be escalated to full write access under specific conditions. When exchanging a read-only API key via the OAuth client_credentials grant, the resource qualifier is ignored. The resulting JWT receives the broad ""api"" scope instead of the expected ""api:read"" scope. This token is therefore treated as having full API access. If an attacker is able to obtain a victim's read-only API key and a valid 2FA (TOTP) code for the victim account, they can use the incorrectly scoped JWT to create a new full-access API key with unrestricted API permissions that does not expire by default and can perform write operations such as publishing, retiring, or modifying packages. This vulnerability is associated with program files lib/hexpm web/controllers/api/oauth controller.ex and program routines 'Elixir.HexpmWeb.API.OAuthController':validate scopes against_key/2. This issue affects hexpm: from 71829cb6f6559bcceb1ef4e43a2fb8cdd3af654b before 71c127afebb7ed7cc637eb231b98feb802d62999.",Git,github.com/hexpm/hexpm,GIT,https://github.com/hexpm/hexpm,0 Unknown introduced commit / All previous commits are affected,71c127afebb7ed7cc637eb231b98feb802d62999,CWE-863,EEF,https://cna.erlef.org/cves/CVE-2026-21621.html; https://github.com; https://osv.dev/vulnerability/EEF-CVE-2026-21621; https://github.com/CVEProject/cvelistV5/tree/main/cves/2026/21xxx/CVE-2026-21621.json; https://github.com/hexpm/hexpm/security/advisories/GHSA-739m-8727-j6w3; https://nvd.nist.gov/vuln/detail/CVE-2026-21621; https://github.com/hexpm/hexpm/commit/71c127afebb7ed7cc637eb231b98feb802d62999; https://github.com/hexpm/hexpm.git
CVE-2024-3094,https://cve.org/CVERecord?id=CVE-2024-3094,https://storage.googleapis.com/cve-osv-conversion/osv-output/CVE-2024-3094.json,https://api.osv.dev/v1/vulns/CVE-2024-3094,GHSA-rxwq-x6h5-x525,2024-03-29T16:51:12.588Z,2026-08-12T03:51:15.583575629Z,10.0 (Critical),10.0,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,Xz: malicious code in distributed source,"Malicious code was discovered in the upstream tarballs of xz, starting with version 5.6.0. Through a series of complex obfuscations, the liblzma build process extracts a prebuilt object file from a disguised test file existing in the source code, which is then used to modify specific functions in the liblzma code. This results in a modified liblzma library that can be used by any software linked against this library, intercepting and modifying the data interaction with this library.",Git,github.com/tukaani-project/xz,GIT,https://github.com/tukaani-project/xz,2d7d862e3ffa8cec4fd3fdffcd84e984a17aa429,,CWE-506,redhat,http://www.openwall.com/lists/oss-security/2024/03/29/10; http://www.openwall.com/lists/oss-security/2024/03/29/12; http://www.openwall.com/lists/oss-security/2024/03/29/4; http://www.openwall.com/lists/oss-security/2024/03/29/5; http://www.openwall.com/lists/oss-security/2024/03/29/8; http://www.openwall.com/lists/oss-security/2024/03/30/12; http://www.openwall.com/lists/oss-security/2024/03/30/27; http://www.openwall.com/lists/oss-security/2024/03/30/36; http://www.openwall.com/lists/oss-security/2024/03/30/5; http://www.openwall.com/lists/oss-security/2024/04/16/5; https://access.redhat.com/downloads/content/package-browser/; https://access.redhat.com/jbossnetwork/restricted/listSoftware.html; https://ariadne.space/2024/04/02/the-xz-utils-backdoor-is-a-symptom-of-a-larger-problem/; https://arstechnica.com/security/2024/03/backdoor-found-in-widely-used-linux-utility-breaks-encrypted-ssh-connections/; https://aws.amazon.com/security/security-bulletins/AWS-2024-002/; https://boehs.org/node/everything-i-know-about-the-xz-backdoor; https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=1068024; https://bugs.gentoo.org/928134; https://discourse.nixos.org/t/cve-2024-3094-malicious-code-in-xz-5-6-0-and-5-6-1-tarballs/42405; https://gist.github.com/thesamesam/223949d5a074ebc3dce9ee78baad9e27; https://gynvael.coldwind.pl/?lang=en&id=782; https://lists.debian.org/debian-security-announce/2024/msg00057.html; https://lists.freebsd.org/archives/freebsd-security/2024-March/000248.html; https://lwn.net/Articles/967180/; https://news.ycombinator.com/item?id=39865810; https://news.ycombinator.com/item?id=39877267; https://news.ycombinator.com/item?id=39895344; https://research.swtch.com/xz-script; https://research.swtch.com/xz-timeline; https://security-tracker.debian.org/tracker/CVE-2024-3094; https://security.alpinelinux.org/vuln/CVE-2024-3094; https://security.archlinux.org/CVE-2024-3094; https://tukaani.org/xz-backdoor/; https://twitter.com/LetsDefendIO/status/1774804387417751958; https://twitter.com/debian/status/1774219194638409898; https://twitter.com/infosecb/status/1774595540233167206; https://twitter.com/infosecb/status/1774597228864139400; https://ubuntu.com/security/CVE-2024-3094; https://www.cisa.gov/news-events/alerts/2024/03/29/reported-supply-chain-compromise-affecting-xz-utils-data-compression-library-cve-2024-3094; https://www.darkreading.com/vulnerabilities-threats/are-you-affected-by-the-backdoor-in-xz-utils; https://www.openwall.com/lists/oss-security/2024/03/29/4; https://www.theregister.com/2024/03/29/malicious_backdoor_xz/; https://www.vicarius.io/vsociety/vulnerabilities/cve-2024-3094; https://xeiaso.net/notes/2024/xz-vuln/; https://access.redhat.com/security/cve/CVE-2024-3094; https://github.com/CVEProject/cvelistV5/tree/main/cves/2024/3xxx/CVE-2024-3094.json; https://github.com/advisories/GHSA-rxwq-x6h5-x525; https://nvd.nist.gov/vuln/detail/CVE-2024-3094; https://security.netapp.com/advisory/ntap-20240402-0001/; https://bugzilla.redhat.com/show_bug.cgi?id=2272210; https://bugzilla.suse.com/show_bug.cgi?id=1222124; https://github.com/amlweems/xzbot; https://github.com/karcherm/xz-malware; https://github.com/tukaani-project/xz; https://blog.netbsd.org/tnf/entry/statement_on_backdoor_in_xz; https://openssf.org/blog/2024/03/30/xz-backdoor-cve-2024-3094/; https://www.binarly.io/blog/persistent-risk-xz-utils-backdoor-still-lurking-in-docker-images; https://www.kali.org/blog/about-the-xz-backdoor/; https://www.redhat.com/en/blog/urgent-security-alert-fedora-41-and-rawhide-users; https://www.tenable.com/blog/frequently-asked-questions-cve-2024-3094-supply-chain-backdoor-in-xz-utils
CVE-2023-4863,https://cve.org/CVERecord?id=CVE-2023-4863,https://storage.googleapis.com/cve-osv-conversion/osv-output/CVE-2023-4863.json,https://api.osv.dev/v1/vulns/CVE-2023-4863,A-299477569; ASB-A-299477569; CVE-2023-5129; GHSA-j7hp-h8jx-5ppr; PYSEC-2026-1794; RUSTSEC-2023-0060; RUSTSEC-2023-0061,2023-09-12T14:24:59.275Z,2026-08-12T13:32:46.654890Z,8.8 (High),8.8,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,[none],Heap buffer overflow in libwebp in Google Chrome prior to 116.0.5845.187 and libwebp 1.3.2 allowed a remote attacker to perform an out of bounds memory write via a crafted HTML page. (Chromium security severity: Critical),Git,github.com/webmproject/libwebp,GIT,https://github.com/webmproject/libwebp,0 Unknown introduced commit / All previous commits are affected,902bc9190331343b2017211debcec8d2ab87e17a,,Chrome,http://www.openwall.com/lists/oss-security/2023/09/21/4; http://www.openwall.com/lists/oss-security/2023/09/22/1; http://www.openwall.com/lists/oss-security/2023/09/22/3; http://www.openwall.com/lists/oss-security/2023/09/22/4; http://www.openwall.com/lists/oss-security/2023/09/22/5; http://www.openwall.com/lists/oss-security/2023/09/22/6; http://www.openwall.com/lists/oss-security/2023/09/22/7; http://www.openwall.com/lists/oss-security/2023/09/22/8; http://www.openwall.com/lists/oss-security/2023/09/26/1; http://www.openwall.com/lists/oss-security/2023/09/26/7; http://www.openwall.com/lists/oss-security/2023/09/28/1; http://www.openwall.com/lists/oss-security/2023/09/28/2; http://www.openwall.com/lists/oss-security/2023/09/28/4; https://adamcaudill.com/2023/09/14/whose-cve-is-it-anyway/; https://crbug.com/1479274; https://en.bandisoft.com/honeyview/history/; https://github.com/webmproject/libwebp/releases/tag/v1.3.2; https://lists.debian.org/debian-lts-announce/2023/09/msg00015.html; https://lists.debian.org/debian-lts-announce/2023/09/msg00016.html; https://lists.debian.org/debian-lts-announce/2023/09/msg00017.html; https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/6T655QF7CQ3DYAMPFV7IECQYGDEUIVVT/; https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/FYYKLG6CRGEDTNRBSU26EEWAO6D6U645/; https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/KUQ7CTX3W372X3UY56VVNAHCH6H2F4X3/; https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/OZDGWWMJREPAGKWCJKSCM4WYLANSKIFX/; https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/PYZV7TMKF4QHZ54SFJX54BDN52VHGGCX/; https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/WHOLML7N2G5KCAZXFWC5IDFFHSQS5SDB/; https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/WTRUIS3564P7ZLM2S2IH4Y4KZ327LI4I/; https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-4863; https://news.ycombinator.com/item?id=37478403; https://security-tracker.debian.org/tracker/CVE-2023-4863; https://sethmlarson.dev/security-developer-in-residence-weekly-report-16; https://stackdiary.com/critical-vulnerability-in-webp-codec-cve-2023-4863/; https://www.bleepingcomputer.com/news/google/google-fixes-another-chrome-zero-day-bug-exploited-in-attacks/; https://www.cisa.gov/known-exploited-vulnerabilities-catalog?field_cve=CVE-2023-4863; https://www.vicarius.io/vsociety/posts/zero-day-webp-vulnerability-cve-2023-4863; https://github.com/CVEProject/cvelistV5/tree/main/cves/2023/4xxx/CVE-2023-4863.json; https://nvd.nist.gov/vuln/detail/CVE-2023-4863; https://security.gentoo.org/glsa/202309-05; https://security.gentoo.org/glsa/202401-10; https://security.netapp.com/advisory/ntap-20230929-0011/; https://www.bentley.com/advisories/be-2023-0001/; https://www.debian.org/security/2023/dsa-5496; https://www.debian.org/security/2023/dsa-5497; https://www.debian.org/security/2023/dsa-5498; https://www.mozilla.org/en-US/security/advisories/mfsa2023-40/; https://bugzilla.suse.com/show_bug.cgi?id=1215231; https://github.com/webmproject/libwebp/commit/902bc9190331343b2017211debcec8d2ab87e17a; https://blog.isosceles.com/the-webp-0day/; https://chromereleases.googleblog.com/2023/09/stable-channel-update-for-desktop_11.html
CVE-2021-44228,https://cve.org/CVERecord?id=CVE-2021-44228,https://storage.googleapis.com/cve-osv-conversion/osv-output/CVE-2021-44228.json,https://api.osv.dev/v1/vulns/CVE-2021-44228,GHSA-jfh8-c2jp-5v3q,2021-12-10T10:15:09.143Z,2026-08-13T04:01:09.237466383Z,10.0 (Critical),10.0,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,[none],"Apache Log4j2 2.0-beta9 through 2.15.0 (excluding security releases 2.12.2, 2.12.3, and 2.3.1) JNDI features used in configuration, log messages, and parameters do not protect against attacker controlled LDAP and other JNDI related endpoints. An attacker who can control log messages or log message parameters can execute arbitrary code loaded from LDAP servers when message lookup substitution is enabled. From log4j 2.15.0, this behavior has been disabled by default. From version 2.16.0 (along with 2.12.2, 2.12.3, and 2.3.1), this functionality has been completely removed. Note that this vulnerability is specific to log4j-core and does not affect log4net, log4cxx, or other Apache Logging Services projects.",Git,github.com/apache/logging-log4j2,GIT,https://github.com/apache/logging-log4j2,8d9204a4b4c6016fa6b36513a46502689d6a45c1,c30a1398a6697fb832c650870c44284d0052103e,,,https://github.com/cisagov/log4j-affected-db/blob/develop/SOFTWARE-LIST.md; http://packetstormsecurity.com/files/165225/Apache-Log4j2-2.14.1-Remote-Code-Execution.html; http://packetstormsecurity.com/files/165260/VMware-Security-Advisory-2021-0028.html; http://packetstormsecurity.com/files/165281/Log4j2-Log4Shell-Regexes.html; http://packetstormsecurity.com/files/165282/Log4j-Payload-Generator.html; http://packetstormsecurity.com/files/165306/L4sh-Log4j-Remote-Code-Execution.html; http://packetstormsecurity.com/files/165307/Log4j-Remote-Code-Execution-Word-Bypassing.html; http://packetstormsecurity.com/files/165311/log4j-scan-Extensive-Scanner.html; http://packetstormsecurity.com/files/167794/Open-Xchange-App-Suite-7.10.x-Cross-Site-Scripting-Command-Injection.html; http://packetstormsecurity.com/files/171626/AD-Manager-Plus-7122-Remote-Code-Execution.html; http://seclists.org/fulldisclosure/2022/Jul/11; http://seclists.org/fulldisclosure/2022/Mar/23; http://www.openwall.com/lists/oss-security/2021/12/10/1; http://www.openwall.com/lists/oss-security/2021/12/10/2; http://www.openwall.com/lists/oss-security/2021/12/10/3; http://www.openwall.com/lists/oss-security/2021/12/13/1; http://www.openwall.com/lists/oss-security/2021/12/13/2; http://www.openwall.com/lists/oss-security/2021/12/14/4; http://www.openwall.com/lists/oss-security/2021/12/15/3; https://cert-portal.siemens.com/productcert/pdf/ssa-397453.pdf; https://cert-portal.siemens.com/productcert/pdf/ssa-479842.pdf; https://cert-portal.siemens.com/productcert/pdf/ssa-661247.pdf; https://cert-portal.siemens.com/productcert/pdf/ssa-714170.pdf; https://github.com/cisagov/log4j-affected-db; https://lists.debian.org/debian-lts-announce/2021/12/msg00007.html; https://lists.fedoraproject.org/archives/list/package-announce%40lists.fedoraproject.org/message/M5CSVUNV4HWZZXGOKNSK6L7RPM7BOKIB/; https://lists.fedoraproject.org/archives/list/package-announce%40lists.fedoraproject.org/message/VU57UJDCFIASIO35GC55JMKSRXJMCDFM/; https://logging.apache.org/log4j/2.x/security.html; https://psirt.global.sonicwall.com/vuln-detail/SNWLID-2021-0032; https://security.netapp.com/advisory/ntap-20211210-0007/; https://support.apple.com/kb/HT213189; https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-apache-log4j-qRuKNEbd; https://www.bentley.com/en/common-vulnerability-exposure/be-2022-0001; https://www.cisa.gov/known-exploited-vulnerabilities-catalog?field_cve=CVE-2021-44228; https://www.debian.org/security/2021/dsa-5020; https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00646.html; https://www.kb.cert.org/vuls/id/930724; https://www.oracle.com/security-alerts/alert-cve-2021-44228.html; https://msrc-blog.microsoft.com/2021/12/11/microsofts-response-to-cve-2021-44228-apache-log4j2/; https://www.oracle.com/security-alerts/cpuapr2022.html; https://www.oracle.com/security-alerts/cpujan2022.html; http://packetstormsecurity.com/files/165261/Apache-Log4j2-2.14.1-Information-Disclosure.html; http://packetstormsecurity.com/files/165270/Apache-Log4j2-2.14.1-Remote-Code-Execution.html; http://packetstormsecurity.com/files/165371/VMware-Security-Advisory-2021-0028.4.html; http://packetstormsecurity.com/files/165532/Log4Shell-HTTP-Header-Injection.html; http://packetstormsecurity.com/files/165642/VMware-vCenter-Server-Unauthenticated-Log4Shell-JNDI-Injection-Remote-Code-Execution.html; http://packetstormsecurity.com/files/165673/UniFi-Network-Application-Unauthenticated-Log4Shell-Remote-Code-Execution.html; http://packetstormsecurity.com/files/167917/MobileIron-Log4Shell-Remote-Command-Execution.html; http://seclists.org/fulldisclosure/2022/Dec/2; https://github.com/nu11secur1ty/CVE-mitre/tree/main/CVE-2021-44228; https://twitter.com/kurtseifried/status/1469345530182455296; https://www.nu11secur1ty.com/2021/12/cve-2021-44228.html
CVE-2026-32995,https://cve.org/CVERecord?id=CVE-2026-32995,https://storage.googleapis.com/cve-osv-conversion/osv-output/CVE-2026-32995.json,https://api.osv.dev/v1/vulns/CVE-2026-32995,,2026-05-28T04:01:37.645Z,2026-08-12T03:51:14.375765451Z,7.5 (High),7.5,CVSS_V3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,[none],"The Rocket.Chat DDP method autoTranslate.translateMessage in versions <8.5.0, <8.4.2, <8.3.4, <8.2.4, <8.1.5, <8.0.5, <7.13.8, and <7.10.12 accepts a client-supplied IMessage object and passes it directly to translateMessage() without checking Meteor.userId() or verifying room membership. Any authenticated DDP user can read the content of any message by ID from any room (private channels, DMs, E2EE rooms) by calling this method.",Git,github.com/rocketchat/rocket.chat,GIT,https://github.com/rocketchat/rocket.chat,d0230e1ed86163b5cf9da57fda09fa86ea0b5c9f,7cd60f9bcb1845a6fb793a9ce55be0bb3c8f36d2,CWE-284,hackerone,https://hackerone.com/reports/3734326; https://github.com/CVEProject/cvelistV5/tree/main/cves/2026/32xxx/CVE-2026-32995.json; https://nvd.nist.gov/vuln/detail/CVE-2026-32995; https://github.com/RocketChat/Rocket.Chat/pull/40528
CVE-2026-32990,https://cve.org/CVERecord?id=CVE-2026-32990,https://storage.googleapis.com/cve-osv-conversion/osv-output/CVE-2026-32990.json,https://api.osv.dev/v1/vulns/CVE-2026-32990,BIT-tomcat-2026-32990; GHSA-8mc5-53m5-3qj2,2026-04-09T19:23:49.618Z,2026-08-12T03:51:43.742530873Z,5.3 (Medium),5.3,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,Apache Tomcat: Fix for CVE-2025-66614 is incomplete,"Improper Input Validation vulnerability in Apache Tomcat due to an incomplete fix of CVE-2025-66614. This issue affects Apache Tomcat: from 11.0.15 through 11.0.19, from 10.1.50 through 10.1.52, from 9.0.113 through 9.0.115. Users are recommended to upgrade to version 11.0.20, 10.1.53 or 9.0.116, which fix the issue.",Git,github.com/apache/tomcat,GIT,https://github.com/apache/tomcat,692d6ffc5aa75d6804749ffcc14353c6b046fd92,1c65de6f27a3bac481514e56e3637785b65a4f2c,CWE-20,apache,https://github.com/CVEProject/cvelistV5/tree/main/cves/2026/32xxx/CVE-2026-32990.json; https://lists.apache.org/thread/1nl9zqft0ksqlhlkd3j4obyjz1ghoyn7; https://nvd.nist.gov/vuln/detail/CVE-2026-32990
CVE-2020-0009,https://cve.org/CVERecord?id=CVE-2020-0009,https://storage.googleapis.com/cve-osv-conversion/osv-output/CVE-2020-0009.json,https://api.osv.dev/v1/vulns/CVE-2020-0009,,2020-01-08T16:15:11.577Z,2026-03-15T14:36:07.890048Z,5.5 (Medium) CVSS_V3 - CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N CVSS Calculator,5.5,CVSS_V3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,[none],"In calc vm may_flags of ashmem.c, there is a possible arbitrary write to shared memory due to a permissions bypass. This could lead to local escalation of privilege by corrupting memory shared between processes, with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android kernel Android ID: A-142938932",Git,,,,,,,,https://lists.debian.org/debian-lts-announce/2020/06/msg00011.html; https://lists.debian.org/debian-lts-announce/2020/06/msg00013.html; https://source.android.com/security/bulletin/2020-01-01; http://packetstormsecurity.com/files/155903/Android-ashmem-Read-Only-Bypasses.html
CVE-2019-20205,https://cve.org/CVERecord?id=CVE-2019-20205,https://storage.googleapis.com/cve-osv-conversion/osv-output/CVE-2019-20205.json,https://api.osv.dev/v1/vulns/CVE-2019-20205,,2020-01-02T14:16:36.253Z,2026-07-08T20:57:29.886506Z,8.8 (High) CVSS_V3 - CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H CVSS Calculator,8.8,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,[none],libsixel 1.8.4 has an integer overflow in sixel frame resize in frame.c.,Git,github.com/saitoha/libsixel,GIT,https://github.com/saitoha/libsixel,,,,,https://github.com/saitoha/libsixel/issues/127
CVE-2019-20208,https://cve.org/CVERecord?id=CVE-2019-20208,https://storage.googleapis.com/cve-osv-conversion/osv-output/CVE-2019-20208.json,https://api.osv.dev/v1/vulns/CVE-2019-20208,,2020-01-02T14:16:36.363Z,2026-08-07T16:50:44.384782Z,5.5 (Medium) CVSS_V3 - CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H CVSS Calculator,5.5,CVSS_V3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,[none],dimC Read in isomedia/box code_3gpp.c in GPAC from 0.5.2 to 0.8.0 has a stack-based buffer overflow.,Git,github.com/gpac/gpac,GIT,https://github.com/gpac/gpac,,,,,https://github.com/gpac/gpac/blob/v0.5.2/src/isomedia/box_code_3gpp.c#L1100; https://lists.debian.org/debian-lts-announce/2020/01/msg00017.html; https://github.com/gpac/gpac/commit/bcfcb3e90476692fe0d2bb532ea8deeb2a77580e; https://github.com/gpac/gpac/issues/1348
CVE-2019-20218,https://cve.org/CVERecord?id=CVE-2019-20218,https://storage.googleapis.com/cve-osv-conversion/osv-output/CVE-2019-20218.json,https://api.osv.dev/v1/vulns/CVE-2019-20218,,2020-01-02T14:16:36.690Z,2026-08-07T15:18:53.394924Z,7.5 (High) CVSS_V3 - CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H CVSS Calculator,7.5,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,[none],selectExpander in select.c in SQLite 3.30.1 proceeds with WITH stack unwinding even after a parsing error.,Git,github.com/sqlite/sqlite,GIT,https://github.com/sqlite/sqlite,,,,,https://lists.debian.org/debian-lts-announce/2020/08/msg00037.html; https://lists.debian.org/debian-lts-announce/2020/12/msg00016.html; https://security.gentoo.org/glsa/202007-26; https://usn.ubuntu.com/4298-1/; https://github.com/sqlite/sqlite/commit/a6c1a71cde082e09750465d5675699062922e387; https://www.oracle.com/security-alerts/cpuapr2020.html
